field_pid,nid,mods_subject_authority_fast_topic_ms
umkc:13563,5162,"subject:Amateur radio stations--Equipment and supplies, subject:Radio operators--Licenses--United States"
umkc:13670,5058,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13578,5147,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13579,5146,subject:Amateur radio stations--Equipment and supplies
umkc:13580,5145,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13581,5144,subject:Amateur radio stations--Equipment and supplies
umkc:13582,5143,subject:Amateur radio stations--Equipment and supplies
umkc:13583,5142,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13584,5141,subject:Amateur radio stations--Equipment and supplies
umkc:13585,5140,subject:Amateur radio stations--Equipment and supplies
umkc:13586,5139,subject:Amateur radio stations--Equipment and supplies
umkc:13587,5138,"subject:Phonograph, subject:Piano, subject:Wicker furniture"
umkc:13588,5137,"subject:Auditoriums, subject:Historic buildings"
umkc:13577,5148,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13576,5149,subject:Amateur radio stations--Equipment and supplies
umkc:13575,5150,subject:Amateur radio stations--Equipment and supplies
umkc:13564,5161,subject:Amateur radio stations--Equipment and supplies
umkc:13565,5160,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13566,5159,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13567,5158,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13568,5157,subject:Amateur radio stations--Equipment and supplies
umkc:13569,5156,subject:Amateur radio stations--Equipment and supplies
umkc:13570,5155,subject:Amateur radio stations--Equipment and supplies
umkc:13571,5154,subject:Amateur radio stations--Equipment and supplies
umkc:13572,5153,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13573,5152,subject:Amateur radio stations--Equipment and supplies
umkc:13574,5151,subject:Amateur radio stations--Equipment and supplies
umkc:13590,5136,subject:Amateur radio stations--Equipment and supplies
umkc:13591,5135,"subject:Amateur radio stations--Equipment and supplies, subject:Radio--Equipment and supplies"
umkc:13607,5120,"subject:Radio stations, subject:Office buildings"
umkc:13608,5119,"subject:Radio stations, subject:Broadcasting studios"
umkc:13609,5118,"subject:Radio stations, subject:Broadcasting studios"
umkc:13610,5117,"subject:Radio stations, subject:Broadcasting studios"
umkc:13611,5116,"subject:Radio stations, subject:Broadcasting studios"
umkc:13612,5115,"subject:Radio stations, subject:Broadcasting studios"
umkc:13613,5114,"subject:Musicians, subject:Country musicians, subject:Radio programs\, Musical"
umkc:13614,5113,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13615,5112,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13616,5111,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13617,5110,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13618,5109,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13606,5121,"subject:Radio stations, subject:Office buildings"
umkc:13605,5122,"subject:Radio stations, subject:Office buildings"
umkc:13592,5134,"subject:Radio broadcasting, subject:Radio and television towers"
umkc:13593,5133,"subject:Radio broadcasting, subject:Radio and television towers"
umkc:13594,5132,subject:Amateur radio stations--Equipment and supplies
umkc:13595,5131,"subject:Amateur radio stations--Equipment and supplies, subject:House furnishings"
umkc:13596,5130,subject:Amateur radio stations--Equipment and supplies
umkc:13597,5129,subject:Amateur radio stations--Equipment and supplies
umkc:13598,5128,subject:Amateur radio stations--Equipment and supplies
umkc:13604,5123,"subject:Radio stations, subject:Historic buildings"
umkc:13603,5124,subject:Radio stations--Employees
umkc:13601,5125,subject:Radio broadcasting
umkc:13600,5126,subject:Amateur radio stations--Equipment and supplies
umkc:13599,5127,subject:Amateur radio stations--Equipment and supplies
